numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,num_articles1997,num_articles1998,num_articles1999,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011
4,Afghanistan,2,1,1,0,0,1,3,0,1,2,0,0,2,12,11,14,17,21,34,37,56,39
8,Albania,3,18,21,29,44,41,49,36,42,40,38,32,58,51,41,67,74,100,99,127,167,165
12,Algeria,23,217,256,224,259,287,311,331,348,417,428,469,514,603,631,824,1057,1313,1442,1723,1752,1615
20,Andorra,0,0,0,1,0,0,1,1,2,1,1,4,6,3,0,3,8,9,2,2,7,3
24,Angola,2,5,10,8,6,10,2,11,5,11,16,13,13,6,7,20,15,20,23,43,36,29
28,Antigua and Barbuda,0,0,0,0,1,1,0,1,1,1,0,1,3,1,0,7,5,7,9,3,4,2
32,Argentina,780,4642,4730,3326,3596,4174,5150,5474,6081,6239,6542,6480,6213,6803,5815,6042,6519,7051,8178,8256,8876,7872
51,Armenia,5,43,81,229,260,287,353,318,314,336,360,362,420,451,383,445,490,503,666,606,703,633
36,Australia,2521,17268,18295,20044,21180,23049,24054,25332,26272,26772,27922,28416,29259,31261,28801,35693,38592,40529,45637,49549,50893,49324
40,Austria,641,4680,5156,5327,5744,6504,7077,8163,8216,8863,8817,9407,9655,10173,9820,11574,12090,13372,14220,14753,15505,14058
31,Azerbaijan,9,31,134,247,215,218,219,190,185,145,165,149,195,250,191,259,257,250,323,415,492,486
44,Bahamas,1,0,4,3,6,3,4,3,8,11,8,7,11,8,6,10,11,22,15,19,16,21
48,Bahrain,13,84,72,63,84,84,72,78,78,82,65,77,60,83,106,122,139,145,133,162,158,124
50,Bangladesh,30,248,314,323,337,383,368,394,391,419,428,478,470,552,525,638,724,797,969,1099,1199,1096
52,Barbados,5,40,43,44,38,55,36,48,46,48,42,52,47,62,72,64,56,61,80,64,81,89
112,Belarus,30,67,400,1076,1132,1248,1207,1316,1270,1301,1164,1017,1083,1037,908,1074,1060,1046,1191,1152,1143,1053
56,Belgium,989,7136,7834,8192,9246,10122,10671,11273,11965,12340,12403,12546,13430,14328,13579,16679,17605,18909,19787,20982,21696,20077
84,Belize,0,3,1,6,7,8,5,8,8,8,2,6,6,9,7,12,18,10,8,10,21,11
204,Benin,6,28,25,40,29,30,47,61,61,57,67,58,77,70,91,112,128,146,193,215,230,217
60,Bermuda,1,12,11,17,18,13,18,15,30,15,23,35,36,15,21,21,24,35,27,30,30,38
64,Bhutan,1,0,3,5,4,6,1,1,4,1,3,2,7,5,12,8,26,8,10,17,29,32
68,Bolivia,1,36,42,68,67,63,59,89,87,107,80,96,108,122,118,164,169,216,247,230,225,208
70,Bosnia and Herzegovina,1,2,7,28,28,24,30,27,29,37,35,60,61,75,87,139,163,364,420,468,570,469
72,Botswana,7,45,35,49,55,66,79,95,104,114,129,127,156,134,118,147,194,212,233,213,188,216
76,Brazil,812,4481,4925,5044,5631,6866,7684,9183,10577,12050,13547,14104,16264,17252,16567,20081,22703,28708,34039,36342,37946,33489
96,Brunei Darussalam,1,13,23,10,23,20,26,35,42,43,39,35,26,40,31,41,46,47,60,69,84,65
100,Bulgaria,379,1723,1888,1518,1540,1633,1637,1771,1799,1706,1679,1620,1739,1708,1594,2006,1993,2606,2641,2647,2440,2152
854,Burkina Faso,3,46,39,54,43,41,58,67,90,82,79,95,104,134,121,177,177,201,239,284,274,287
108,Burundi,4,17,12,12,29,21,20,27,6,15,4,8,4,13,9,12,5,16,8,12,27,19
116,Cambodia,0,1,2,2,7,9,6,8,11,23,20,23,36,34,48,74,88,124,126,158,167,148
